Company,Ticker
Ecoplast,038110.KQ
Ecos (India),ECOSMOBLTY.NS
Edvenswa Enter,EDVENSWA.BO
Effwa Infra,EFFWA-SM.NS
Eicher Motors,EICHERMOT.NS
EIH,EIHAHOTELS.NS
EIH Assoc.Hotels,None
Elantas Beck,ELANTAS.BO
Elecon Engg.Co,None
Eleganz Interior,ELGNZ-SM.NS
Elgi Equipments,ELGIEQUIP.NS
EMA Partners,EMAPARTNER-SM.NS
Emami,EMAMIREAL.NS
Emcure Pharma,EMCURE.BO
Emkay Taps & Cut,None
EMS,EMC1.F
Endurance Tech.,ENDURANCE.NS
Energy-Mission,EMMIL-ST.NS
Enfuse,ENFUSE-SM.NS
Enser,ENSV
Envirotech,EVTV
Epigral,EPIGRAL.BO
EPL Ltd,None
Esab India,ESABINDIA.BO
Evans Electric,EVANS.BO
Excellent Wires,EXCELLENT-SM.NS
Exhicon Events,EXHICON.BO
Expleo Solutions,EXPLEOSOL.BO
Faalcon Concepts,FAALCON.BO
Fedders Holding,FEDDERSHOL.BO
Fidel Softech,FIDEL-SM.NS
Fiem Industries,FIEMIND.BO
Filtra Consult.,FILTRA.BO
Fine Organic,FINEORG.NS
Fluidomat,FLUIDOM.BO
Fonebox,FONEBOX-SM.NS
Forbes & Co,EUREKAFORB.NS
Forcas Studio,FORCAS-SM.NS
Foseco India,FOSECOIND.BO
Franklin Indust.,FRANKLININD.BO
Frontier Springs,FRONTSP.BO
G M Polyplast,GMPL.BO
Gabriel India,GABRIEL.NS
Gajanand,GAJANAND-SM.NS
Gala Precis. Eng,GALAPREC.BO
Ganesh Green,GGBL-ST.NS
Ganesh Housing,GANESHHOUC.BO
Ganesh Infra.,GANESHIN-SM.NS
Garware Hi Tech,GRWRHITECH.BO
Garware Tech.,GARFIBRES.NS
Gillette India,GILLETTE.NS
Glaxosmi. Pharma,GLAXO.NS
Godawari Power,GPIL.BO
Godfrey Phillips,GODFRYPHLP.NS
Golech.Glob.Fin.,None
Golkunda Diamond,GOLKUNDIA.BO
Goodluck India,GOODLUCK.BO
Gopal Snacks,GOPAL.BO
Goyal Salt,GOYALSALT-SM.NS
GPT Infraproject,GPTINFRA.BO
Grauer & Weil,GRAUWEIL.BO
Gravita India,GRAVITA.NS
Grindwell Norton,GRINDWELL.BO
GSM Foils,GSMFOILS-ST.NS
Gufic BioScience,GUFICBIO.BO
Guj. Containers,GUJCONT.BO
Gulf Oil Lubric.,GULFOILLUB.NS
H.G. Infra Engg.,None
Hamps Bio,HAMPS.BO
Happy Forgings,HAPPYFORGE.BO
Harshdeep,HARSHDEEP.BO
Havells India,HAVELLS.BO
Hawkins Cookers,HAWKINCOOK.BO
HBL Engineering,HBLENGINE.NS
HCL Technologies,HCLTECH.NS
Heritage Foods,HERITGFOOD.NS
Hero Motocorp,HEROMOTOCO.BO
Hexaware Tech.,HEXT.NS
Hi-Green Carbon,HIGREEN-SM.NS
High Energy Bat.,HIGHENE.BO
Himadri Special,HSCL.NS
Hindustan Hardy,HINDHARD.BO
Hoac Foods,HOACFOODS-SM.NS
Holmarc Opto,HOLMARC-SM.NS
HVAX Technolog.,HVAX-SM.NS
I R C T C,IRCTC.NS
IB Infotech,IBINFO.BO
ICRA,ICRA.NS
Identical Brains,IDENTICAL-ST.NS
IEL,IEL.BO
IIRM Holdings,IIRM.BO
Indegene,INDGN.BO
Indiamart Inter.,INDIAMART.NS
Indian,SIR=F
Indian Energy Ex,IEX.NS
Indian Hotels Co,INDHOTEL.BO
Indigo Paints,INDIGOPNTS.NS
Indo Count Inds.,None
Indo Tech.Trans.,None
Indo Thai Sec.,INDOTHAI.NS
Indrapr.Medical,None
Infinium Pharma,INFINIUM-SM.NS
Infollion Resea.,INFOLLION-SM.NS
Infosys,INFY
Ingersoll-Rand,IR
Innomet,302430.KQ
Innova Captab,INNOVACAP.BO
Inox India,INOXINDIA.BO
Integ. Industrie,IIL.BO
Integra Engg.,None
Integra Essentia,ESSENTIA.NS
Interarch Build.,INTERARCH.NS
Interiors,ETD
International Ge,IGIL.BO
Intl. Conveyors,INTLCONV.NS
Intl. Travel Hse,None
Inventurus Knowl,IKS.NS
ION Exchange,IONEXCHANG.NS
IRIS Business,IRIS.NS
Iris Clothings,IRISDOREME.NS
ISL Consulting,ISLCONSUL.BO
ITC,010280.KQ
J B Chemicals &,JBCHEPHARM.BO
Jagsonpal Fin.,JAGSONFI.BO
Jagsonpal Pharma,JAGSNPHARM.BO
Jash Engineering,JASH.NS
Jay Bee Laminati,JAYBEE-SM.NS
Jay Jalaram Tech,KORE-ST.NS
Jeena Sikho,JSLL-SM.NS
Jenburkt Pharma,JENBURPH.BO
Jeyyam Global,JEYYAM-SM.NS
JNK,JNK
Josts Engg. Co.,None
Jupiter Info.,JUPITERIN.BO
Jupiter Life Lin,JLHL.BO
Jupiter Wagons,JWL.BO
Jyothy Labs,JYOTHYLAB.NS
Jyoti CNC Auto.,JYOTICNC.BO
Jyoti Resins,JYOTIRES.BO
K P R Mill Ltd,None
Kalyani Cast-Tec,KALYANI.BO
Kamdhenu,KAMOPAINTS.BO
Kaveri Seed Co.,KSCL.BO
Kay Cee,KCEIL-ST.NS
KDDL Ltd,KDDL.BO
KEI Industries,KEI.NS
Kellton Tech,KELLTONTEC.NS
Kesar India,KESAR.BO
Keynote Finan.,KEYFINSERV.BO
KFin Technolog.,KFINTECH.NS
Khazanchi Jewell,KHAZANCHI.BO
Kingfa Science,KINGFA.BO
Kings Infra,KINGSINFR.BO
Kirl. Brothers,KIRLOSBROS.NS
Kirl.Pneumatic,None
KNR Construct.,KNRCON.NS
Kody Technolab,KODYTECH-ST.NS
Kothari Petroche,KOTHARIPET.NS
Kotyark Indust.,KOTYARK-ST.NS
KPI Green Energy,KPIGREEN.BO
KPIT Technologi.,KPITTECH.NS
KPT Industries,KPT.BO
Krishca Strapp.,KRISHCA-ST.NS
KRN Heat Exchan,KRN.NS
Kronox Lab,KRONOX.NS
KSB,KSBD.XD
Ksolves India,KSOLVES.NS
L G Balakrishnan,None
L T Foods,None
L&T Technology,L
Lakshya Powertec,LAKSHYA-ST.NS
Landmark Immig.,LICL.BO
Leo Dryfruits,VANDU.BO
Likhitha Infra.,LIKHITHA.BO
Linc,LINC
Lincoln Pharma.,LINCOLN.BO
Lloyds Engineeri,LLOYDSENGG.BO
Lorenzini Appar.,LAL.BO
Loyal Equipments,LOYAL.BO
LTIMindtree,LTIM.NS
Lupin,LUPIN.NS
M E T S,^706679-EUR-STRD
Macfos,ROBU.BO
Macobs,MACOBSTECH-SM.NS
Macpower CNC,MACPOWER.NS
Madhusudan Masa,MADHUSUDAN-SM.NS
Magellanic Cloud,MCLOUD.NS
Maitreya,MAITREYA-SM.NS
Mallcom (India),MALLCOM.BO
Mangal,MWL-SM.NS
Mankind Pharma,MANKIND.NS
Manoj Vaibhav,MVGJL.BO
Marico,MARICO.NS
Marksans Pharma,MARKSANS.BO
Mastek,MASTEK.BO
Master Component,MASTER-SM.NS
Maximus Interna.,MAXIMUS.BO
Maxposure,MAXPOSURE-SM.NS
Maxvolt Ene.,MAXVOLT-SM.NS
Mayur Uniquoters,MAYURUNIQ.NS
Medico Remedies,MEDICO.NS
Mefcom Capital,MEFCOMCAP.BO
Menon Bearings,MENONBE.BO
Menon Pistons,MENNPIS.BO
Mercury Trade Li,MERCTRD.BO
Meson Valves Ind,MESON.BO
Metro Brands,METROBRAND.BO
Mishtann Foods,MISHTANN.BO
Monarch Networth,MONARCH.BO
Moongipa Capital,MONGIPA.BO
Morganite Crucib,MORGANITE.BO
Motherson Wiring,None
Mphasis,MPHASIS.NS
MPS,0P00019GS1.F
MRP Agro,MRP.BO
Mrs Bectors,BECTORFOOD.BO
Multi Comm. Exc.,MCX.BO
My Mudra Fin.,MYMUDRA-SM.NS
Nacdac Infra.,NACDAC.BO
Namo eWaste,NAMOEWASTE-SM.NS
Narayana Hrudaya,NH.NS
Narmada Macplast,NARMP.BO
Natco Pharma,NATCOPHARM.BO
Naturewings Hol.,NHL.BO
Nava,NKI-R.BK
Navneet Educat.,NAVNETEDUL.BO
NESCO,NESCO.NS
Netlink Solns(I),None
Netweb Technol.,NETWEB.BO
Network People,NPST.NS
Newgen Software,NEWGEN.NS
Newjaisa Tech,NEWJAISA-ST.NS
Nexus Surgical,NEXUSSURGL.BO
Nexxus Petro,NEXXUS.BO
NGL Fine Chem,NGLFINE.BO
NIIT Learning,NIITMTS.NS
Nippon Life Ind.,NAM-INDIA.BO
Nirman Agri,NIRMAN-ST.NS
Nisus Finance,NISUS.BO
Nitin Castings,NITINCAST.BO
Nitiraj Engineer,NITIRAJ.NS
NMDC,NMDC.NS
Nova Agritech,NOVAAGRI.BO
Oberoi Realty,OBEROIRLTY.NS
OBSC Perfection,OBSCP-ST.NS
Olatech Solution,OLATECH.BO
One Global Serv,ONEGLOBAL.BO
One Point One,ONEPOINT.NS
Oracle Fin.Serv.,None
Orbit Exports,ORBTEXP.NS
Oriana Power Ltd,None
Orient Tech.,ORIENTTECH.NS
OSEL Devices,OSELDEVICE-ST.NS
Owais Metal,OWAIS-ST.NS
P I Industries,None
P N Gadgil Jewe.,PNGJL.NS
P S Raj,PSRAJ-SM.NS
P. H. Capital,MOTNF
P.E. Analytics,None
Page Industries,PAGEIND.BO
Panama Petrochem,PANAMAPET.BO
Paradeep Pari.,PPARIVAH.BO
Parmeshwar Metal,PARMESHWAR.BO
Party Cruisers,PARTYCRUS-SM.NS
Pearl Global Ind,PGIL.BO
Pecos Hotels,PECOS.BO
Pelatro,PELATRO-SM.NS
Pentagon Rubber,PENTAGON-SM.NS
Persistent Sys,PERSISTENT.BO
Phantom Digital,PHANTOMFX-SM.NS
Piccadily Agro,PICCADIL.BO
Pidilite Inds.,None
Piotex,PIOTEX.BO
Pix Transmission,PIXTRANS.BO
PNGS Gargi FJ,None
Pokarna,POKARNA.NS
Poly Medicure,POLYMED.NS
Polycab India,POLYCAB.NS
Positron Energy,POSITRON-SM.NS
Power Mech Proj.,POWERMECH.BO
Prabhhans Inds,None
Prakash Pipes,PPL.BO
Pramara Promotio,PRAMARA-SM.NS
Pratham EPC,PRATHAM-ST.NS
Prec. Wires (I),PRECWIRE.NS
Premier Energies,PREMIERENE.NS
Premier Polyfilm,PREMIERPOL.BO
Premier Road,PRLIND-SM.NS
Premium Plast,PREMIUM-SM.NS
Prevest Denpro,PREVEST.BO
Prime Securities,PRIMESECU.BO
Prizor Viztech,PRIZOR-SM.NS
Prudent Corp.,0P0001BAGX.BO
Pudumjee Paper,PDMJEPAPER.BO
Pulsar Intl.,None
Pulz Electronics,PULZ-SM.NS
Pyramid Technopl,PYRAMID.BO
Qualitek Labs,QLL.BO
Quality RO Indu.,QRIL.BO
Quasar India,QUASAR.BO
Quest,DGX
R K Swamy,RKSWAMY.BO
R M Drip & Sprin,RMDRIP-SM.NS
R R Kabel,RRKABEL.BO
R Systems Intl.,None
R&B Denims,R
Radhika Jeweltec,RADHIKAJWE.NS
Radiowalla,RADIOWALLA-SM.NS
Raghav Product.,RPEL.BO
Rainbow Child.,RAINBOW.BO
Rajesh Power,RAJESH.BO
Rajgor Castor,RCDL-SM.NS
Rajoo Engineers,RAJOOENG.BO
Rajputana Invest,RAJPUTANA.BO
Rane Brake Lin.,RBL.BO
Rappid Valves,RAPPID-SM.NS
RBM Infracon,RBMINFRA-ST.NS
RBZ Jewellers Lt,None
Readymix Cons.,READYMIX-ST.NS
Refex Industries,REFEX.NS
Refractory,MATHIO.AT
Response Info.,RESPONSINF.BO
Responsive Ind,RESPONIND.BO
Revathi Equip,RVTH.NS
Rex Sealing,REXSEAL.BO
RIR Power Electr,RIR.BO
Ritco Logistics,RITCO.BO
RMC Switchgears,RMC.BO
Rockingdeals Cir,ROCKINGDCE-ST.NS
Rolcon Engg. Co.,None
Roto Pumps,ROTO.NS
Royal Arc,ROYALARC-ST.NS
RPG LifeScience.,None
Rudra Gas,RUDRAGAS.BO
Rulka,RULKA-ST.NS
S A Tech,PRSCX
S D Retail,SDREAMS-ST.NS
S J Logistics (I,SJLOGISTIC-SM.NS
Sabar Flex India,SABAR-ST.NS
Safari Inds.,None
Sahana Systems,None
Saint-Gob. Sekur,SAINTGOBAIN.BO
Saksoft,SAKSOFT.BO
Sanjiv.Parant.,None
Sanofi Consumer,SANOFICONR.BO
Sanrhea Tech.,SANTETX.BO
Sanstar,SANSTAR.NS
Saptarishi Agro,SPTRSHI.BO
Saraswati Saree,SSDL.NS
Sathlokhar,SSEGL-SM.NS
Saumya Cons,SAUMYA.BO
Schaeffler India,SCHAEFFLER.NS
Secmark Consult.,SECMARK.BO
Selan Expl. Tech,SELAN.NS
Service Care Ltd,None
Servotech Renew,SERVOTECH.NS
Sh. Ganesh Elas.,SHGANEL.BO
Sh. Rama Multi.,SHREERAMA.BO
Shakti Pumps,SHAKTIPUMP.NS
Shanthi Gears,SHANTIGEAR.NS
Shantidoot Infra,SISL.BO
Share,SOXL
Share India Sec.,SHAREINDIA.NS
Shelter Pharma,SHELTER.BO
Shilchar Tech.,SHILCTECH.BO
Shine Fashions,SHINEFASH.BO
Shivalic,SPCL-ST.NS
Shree Ganesh Rem,SGRL.BO
Shree Marutinand,SHREE.BO
Shree OSFM,SHREEOSFM-SM.NS
Shri Balaji,SBVCL.BO
Shri Techtex,SHRITECH-SM.NS
Shriram Pistons,SHRIPISTON.NS
Shubhshree,SHUBHSHREE-SM.NS
Siddhika Coatins,None
Sigachi Indust.,SIGACHI.BO
Sigma Solve,SIGMA.BO
Sika Interplant,SIKA.BO
Sikko Industries,SIKKO.NS
Silicon Rental,SRSOLTD.BO
Silver Touch,SILVERTUC.BO
Sirca Paints,SIRCA.BO
Siyaram Silk,SIYSIL.NS
SJS Enterprises,SJS.NS
SKF India,SKFINDIA.NS
SNL Bearings,SNL.BO
Sobhagya Mercant,SOBME.BO
Sodhani Academy,SAFE.BO
Solar Industries,SOLARINDS.NS
Solarium Green,SOLARIUM.BO
Sona BLW Precis.,SONACOMS.NS
Sona Machinery,SONAMAC-SM.NS
South. Magnesium,SOUTHMG.BO
SP Refractories,SPRL-SM.NS
Spectrum Electr.,SPECTRUM.NS
Spectrum Foods,SPECFOOD.BO
Spright Agro,SPRIGHT.BO
Sreechem Resins,SRECR.BO
Srigee DLM,None
Srivasavi Adhes.,SRIVASAVI-SM.NS
SRM Contractors,SRM.NS
Stallion India,STALLION.BO
Standard Glass,SGLTL.NS
Stellant Secu.,STELLANT.BO
Storage Tech,STAL.BO
Stylam Industrie,STYLAMIND.NS
Sumitomo Chemi.,4005.T
Sumuka Agro,SUMUKA.BO
Sun Pharma.Inds.,None
Sungarner Energ.,SEL-SM.NS
Sunrise Efficie.,SEML.BO
Supreme Inds.,None
Supreme Petroch.,SPLPETRO.NS
Supriya Lifesci.,SUPRIYA.BO
Suraj Estate,SURAJEST.BO
Suraksha Diagno.,SURAKSHA.NS
Suyog Telematics,SUYOG.NS
Suzlon Energy,SUZLON.BO
Swaraj Engines,SWARAJENG.BO
Swojas Foods,SWOJAS.BO
TAC Infosec,TAC-SM.NS
Talbros Auto.,TALBROAUTO.NS
Tanfac Inds.,None
Taparia Tools,TAPARIA.BO
Tata Elxsi,TATAELXSI.NS
TBI Corn,TBI-ST.NS
TCC Concept,TCC.BO
TCS,TCSA3.SA
TD Power Systems,TDPOWERSYS.BO
Techera,TECHERA-SM.NS
Techknowgreen,TECHKGREEN.BO
Technocraf.Inds.,None
Teerth,TGL-ST.NS
Tega Inds.,None
The Anup Enginee,ANUP.NS
Thinking,8050.HK
Thomas Scott,THOMASCOTT.BO
Thyrocare Tech.,THYROCARE.NS
Timescan Logist.,TIMESCAN-SM.NS
Timex Group,TIMEX.BO
Timken India,TIMKEN.BO
Tips Music,TIPSMUSIC.NS
Titagarh Rail,TITAGARH.BO
TPL Plastech,TPLPLASTEH.BO
Transport Corp.,2609.TW
Transteel Seatin,TRANSTEEL-SM.NS
Travels,TVL.F
Trent,STRNY
Trident Lifeline,TLL.BO
Trident Techlabs,TECHLABS-SM.NS
Triveni Turbine,TRITURBINE.BO
Trom,TROM-SM.NS
U P Hotels,None
Unihealth Hosp,UNIHEALTH-SM.NS
Unimech Aero.,UNIMECH.NS
United Spirits,UNITDSPR.NS
Updater Services,UDS.BO
Upsurge Invest.,UPSURGE.BO
Urban Enviro,URBAN-SM.NS
Usha Martin,USHAMART.NS
UTI AMC,None
Utssav,UTSSAV-SM.NS
V-Guard Industri,VGUARD.NS
V.L.Infraproject,VLINFRA-SM.NS
Vadilal Inds.,None
Varun Beverages,VBL.NS
Varyaa Creations,VARYAA.BO
Vasa Denticity,DENTALKART-SM.NS
Vasundhara Rasy.,None
Vdeal,VDEAL-SM.NS
Veritaas,VERITAAS-ST.NS
Vesuvius India,VESUVIUS.BO
Vijaya Diagnost.,VIJAYA.NS
Vikram Thermo,VIKRAMTH.BO
Vilas Transcore,VILAS-SM.NS
Vimta Labs,VIMTALABS.BO
Vinati Organics,VINATIORGA.BO
Vinsys IT Serv.,VINSYS-SM.NS
Vintage Coffee,VINCOFE.NS
Vinyas Innovativ,VINYAS-SM.NS
Vinyl Chemicals,VINYLINDIA.BO
Virat Crane Inds,None
Vishnu Chemicals,VISHNU.NS
Vishnu Prakash R,VPRPL.NS
Vishnusurya,VISHNUINFR-SM.NS
Voler Car,VOLERCAR-SM.NS
Volt.Transform.,None
Vruddhi Engineer,VRUDDHI.BO
Waaree Energies,WAAREEENER.NS
Websol Energy,WEBELSOLAR.BO
Welspun Living,WELSPUNLIV.BO
Wendt India,WENDT.NS
Winsol,WINSOL-SM.NS
Wise Travel,WTICAB-SM.NS
WOL 3D,WOL3D-SM.NS
Womancart,WOMANCART-ST.NS
WPIL,WPIL.BO
Yash Optics,YASHOPTICS-SM.NS
Yatharth Hospit.,YATHARTH.BO
Yuranus Infrast.,YURANUS.BO
Z-Tech,ZBRA
Zen Technologies,ZENTEC.NS
Zenith,ZENI-P.V
Zensar Tech.,ZENSARTECH.NS
Zydus Lifesci.,ZYDUSLIFE.BO
