Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Return on capital employed,EPS last year,Return on equity,Book value,Price to book value,Graham Number,Historical PE 7Years,Current ratio,PEG Ratio,Debt to equity,Altman Z Score,Piotroski score,NPM last year,Sales growth 3Years,EPS,Industry PE,Quick ratio,Debtor days,Number of equity shares,Intrinsic Value,Enterprise Value,Pledged percentage,Promoter holding,Earnings yield,Free cash flow 3years,G Factor,Return on assets
Pramara Promotio,,PRAMARA,Trading,156.40,26.07,141.31,16.99,4.37,16.13,66.26,2.36,94.57,26.51,3.01,0.34,0.68,5.08,6.00,6.22,15.89,6.00,28.96,2.02,112.47,0.90,142.14,178.24,0.00,50.54,6.46,0.89,4.00,5.92
Pratham EPC,,PRATHAM,Construction,181.95,23.88,323.14,31.95,5.66,24.97,39.17,4.65,81.94,27.83,3.15,,0.11,8.80,5.00,14.30,31.05,7.62,20.84,1.88,82.67,1.78,313.84,322.01,0.00,71.16,6.12,-15.29,6.00,15.51
Prec. Wires (I),523539,PRECWIRE,Mining / Minerals / Metals,165.83,35.97,2962.69,25.35,4.08,15.21,30.22,5.49,55.99,15.01,1.69,3.07,0.19,9.23,5.00,2.20,24.31,4.61,33.39,1.16,46.62,17.87,89.85,3011.75,0.00,57.93,5.07,85.64,6.00,7.31
Premier Energies,544238,PREMIERENE,Electric Equipment,1125.95,219.75,50754.94,25.23,8.78,43.66,51.00,22.08,100.38,118.18,2.04,,0.55,17.34,7.00,7.35,64.87,8.78,44.87,1.53,70.70,45.08,77.07,50158.90,0.00,64.25,0.82,-773.93,4.00,8.18
Premier Polyfilm,514354,PREMIERPOL,Plastics Products,60.06,23.20,629.08,29.23,1.97,24.46,10.17,5.90,24.34,15.85,2.56,0.65,0.00,10.92,9.00,7.94,19.86,2.59,26.80,1.57,49.68,10.47,23.38,626.49,0.00,67.60,5.92,17.23,6.00,15.30
Premier Road,,PRLIND,Miscellaneous,100.05,17.10,228.74,28.99,7.49,37.73,34.50,2.90,74.78,14.65,4.90,,0.05,8.90,6.00,5.52,34.54,7.20,24.35,4.90,123.55,2.29,134.11,231.40,0.00,73.65,8.79,-7.41,4.00,15.25
Premium Plast,,PREMIUM,Auto Ancillaries,29.80,11.91,56.91,36.21,,33.82,,,,,1.60,,0.59,5.77,6.00,9.39,21.29,,26.23,0.64,33.76,1.91,,66.51,0.00,68.73,12.15,3.49,4.00,14.24
Prevest Denpro,543363,,Healthcare,484.55,33.03,581.61,26.79,13.43,19.98,79.89,6.07,162.39,32.07,12.67,0.82,0.00,12.52,5.00,28.56,25.71,14.67,48.04,11.56,52.84,1.20,465.21,525.78,0.00,73.60,4.43,6.73,4.00,18.59
Prime Securities,500337,PRIMESECU,Finance & Investments,249.49,23.71,838.86,22.62,11.39,19.46,61.29,4.07,125.34,22.16,34.61,0.69,0.00,9.17,6.00,39.57,25.06,11.39,21.48,34.61,88.23,3.36,114.60,818.23,0.00,0.00,5.03,33.75,2.00,17.37
Prizor Viztech,,PRIZOR,Electronics - Consumer,158.35,30.39,169.30,72.24,69.62,143.74,34.57,4.58,232.72,2.35,3.22,,0.18,7.68,5.00,15.62,,69.62,29.60,1.68,81.50,1.07,1053.91,175.17,0.00,68.28,4.69,-6.77,3.00,33.50
Prudent Corp.,543527,PRUDENT,Finance & Investments,2531.60,53.58,10482.52,44.08,47.25,34.05,161.25,15.70,414.04,40.28,1.98,1.12,0.05,21.11,7.00,17.73,34.05,47.25,14.47,1.98,47.76,4.14,1503.71,10334.71,0.00,55.72,2.56,406.24,5.00,23.01
Pudumjee Paper,539785,PDMJEPAPER,Paper,107.78,8.95,1023.37,26.83,10.34,20.91,57.53,1.87,124.83,7.98,3.35,0.22,0.03,5.37,7.00,11.84,21.57,12.04,12.24,2.27,35.45,9.49,113.80,1025.98,0.00,71.31,15.31,95.76,6.00,13.87
Pulsar Intl.,512591,,Finance & Investments,8.05,19.35,57.47,31.00,0.35,31.00,1.76,4.58,4.06,21.77,10.10,0.18,0.00,11.95,3.00,12.64,634.09,0.42,21.48,10.10,76.40,7.14,8.56,57.42,0.00,8.18,5.17,-5.05,3.00,28.22
Pulz Electronics,,PULZ,Electronics - Consumer,62.05,15.05,135.32,43.41,3.80,32.87,15.59,3.98,38.03,13.71,5.59,0.55,0.01,9.13,7.00,17.72,73.21,4.12,15.05,3.21,24.96,2.18,96.34,126.52,0.00,69.66,9.48,3.83,5.00,23.14
Pyramid Technopl,543969,PYRAMID,Packaging,162.11,21.80,596.32,20.98,7.98,17.84,64.02,2.53,103.51,20.94,2.20,,0.13,6.46,3.00,5.52,19.31,7.44,22.86,1.41,68.09,3.68,226.92,619.48,0.00,74.94,6.42,-41.20,5.00,11.11
Qualitek Labs,544091,,Miscellaneous,325.00,80.88,324.33,17.30,5.85,20.35,82.41,3.94,94.67,49.69,1.78,,0.18,6.50,5.00,14.77,66.25,4.83,26.75,1.78,98.19,1.00,266.15,339.11,0.00,54.19,1.94,-21.79,3.00,9.56
Quality RO Indu.,543460,,Miscellaneous,121.05,31.82,30.87,19.75,8.08,17.31,51.19,2.36,76.08,24.37,3.36,,0.47,5.84,5.00,11.80,,5.03,24.35,1.79,88.35,0.19,252.03,34.27,0.00,48.07,4.93,,3.00,11.74
Quasar India,538452,,Trading,0.90,14.23,42.83,32.67,0.03,22.38,0.21,4.28,0.54,102.00,2.59,0.08,0.17,10.77,3.00,4.39,78.88,0.06,28.96,2.59,395.23,47.59,0.41,44.50,0.00,0.00,9.78,0.41,3.00,5.92
Quest,,QUESTLAB,Pharmaceuticals - Indian - Formulations,106.90,14.87,175.18,57.51,8.45,46.13,48.71,2.19,93.90,13.84,1.96,,0.12,5.08,7.00,12.22,39.58,8.05,38.92,1.08,103.50,1.64,364.22,184.92,0.00,66.21,9.72,4.48,5.00,18.99
R K Swamy,544136,RKSWAMY,Miscellaneous,217.84,33.83,1099.90,35.16,7.87,27.71,46.27,4.71,81.87,30.31,2.83,,0.08,8.12,7.00,11.98,24.08,6.44,26.75,2.83,146.45,5.05,258.24,997.95,0.00,69.61,4.76,95.83,3.00,11.19
R M Drip & Sprin,,RMDRIP,Plastics Products,544.90,56.88,1361.16,44.65,9.58,39.70,32.00,17.03,83.05,23.99,2.40,1.06,0.32,17.24,5.00,18.36,93.75,9.58,26.80,2.08,300.23,2.50,70.21,1386.46,0.00,17.78,2.45,-55.55,4.00,21.79
R R Kabel,543981,RRKABEL,Cables - Power,1315.90,47.75,14879.26,20.23,27.56,15.65,190.37,6.91,343.58,59.12,1.78,2.30,0.13,10.65,4.00,4.09,20.21,27.56,31.11,0.98,39.44,11.31,561.71,14942.48,0.00,61.80,3.13,626.04,5.00,9.76
R Systems Intl.,532735,RSYSTEMS,Computers - Software - Medium / Small,360.95,30.03,4272.81,20.81,11.09,21.24,52.75,6.84,119.46,20.80,2.26,1.70,0.12,8.73,7.00,7.53,14.65,12.02,30.87,2.26,53.92,11.84,192.42,4151.94,0.00,51.90,5.27,477.94,4.00,10.37
R&B Denims,538119,,Textiles - Cotton/Blended,91.44,30.08,822.72,16.42,3.05,15.86,20.33,4.50,37.38,20.20,2.13,0.57,0.52,7.28,4.00,7.46,7.75,3.05,23.61,1.44,62.83,9.00,34.77,905.30,0.00,57.39,4.92,76.90,1.00,9.04
Radhika Jeweltec,540125,RADHIKAJWE,Diamond Cutting / Jewellery,91.63,18.69,1081.23,24.58,4.20,20.63,24.46,3.75,51.94,11.51,5.74,0.38,0.18,9.41,4.00,9.10,58.20,4.90,33.21,0.34,0.49,11.80,115.49,1126.36,0.00,63.73,7.52,-57.55,7.00,17.08
Radiowalla,,RADIOWALLA,Entertainment / Electronic Media Software,75.00,53.39,52.86,28.70,2.98,33.19,26.29,2.85,31.30,42.28,7.19,,0.06,6.62,6.00,10.03,37.93,1.66,35.34,7.19,88.22,0.70,54.52,42.50,0.00,41.13,3.11,0.01,3.00,17.81
Raghav Product.,539837,RPEL,Refractories / Intermediates,695.30,86.35,3192.26,26.42,8.05,21.01,42.20,16.48,87.44,56.28,4.93,,0.04,25.37,7.00,18.52,25.95,8.05,39.71,3.67,93.55,4.59,246.09,3190.10,0.00,62.92,1.52,23.44,5.00,17.71
Rainbow Child.,543524,RAINBOW,Healthcare,1367.80,58.35,13890.24,19.08,21.38,18.23,132.29,10.34,264.18,53.42,4.30,1.60,0.57,12.18,4.00,16.40,25.89,23.45,48.04,4.12,19.82,10.16,470.89,14622.66,0.00,49.85,2.69,317.14,5.00,10.79
Rajesh Power,544291,,Construction,1267.90,26.15,2283.16,55.21,48.48,51.27,142.29,8.91,393.96,55.98,1.54,,0.22,10.76,4.00,8.14,94.01,48.48,20.84,1.24,61.87,1.80,1336.58,2338.22,0.00,73.40,5.59,-23.77,4.00,22.77
Rajgor Castor,,RCDL,Solvent Extraction,22.00,6.46,52.61,19.91,4.09,19.98,31.66,0.69,49.24,6.44,1.76,0.07,0.78,6.80,5.00,1.73,286.94,3.40,26.20,1.41,64.08,2.39,86.09,101.80,0.00,60.02,15.97,-71.36,7.00,7.36
Rajoo Engineers,522257,,Engineering,127.25,54.75,2087.06,32.83,2.32,26.30,9.95,12.79,22.81,17.92,1.61,0.60,0.00,12.62,7.00,15.03,10.10,2.32,34.05,0.78,21.71,16.40,47.41,2000.51,0.00,66.40,2.39,64.29,6.00,13.82
Rajputana Invest,539090,,Trading,37.27,39.59,11.48,20.35,1.69,15.12,12.63,2.95,16.36,29.18,5.73,0.43,0.00,7.49,6.00,18.18,,0.94,28.96,0.88,22.97,0.31,34.48,11.32,0.00,74.64,3.53,-0.67,4.00,14.07
Rane Brake Lin.,532987,RBL,Auto Ancillaries,745.05,12.59,575.91,20.51,52.31,15.19,361.69,2.06,687.72,17.19,2.14,6.23,0.01,5.89,8.00,6.23,15.95,58.12,26.23,1.19,81.22,0.77,874.52,577.87,0.00,70.93,10.77,13.90,4.00,10.63
Rappid Valves,,RAPPID,Engineering,268.45,23.08,139.38,40.34,11.63,83.43,80.47,3.34,145.13,23.11,2.45,,0.35,6.39,3.00,11.59,62.53,11.63,35.65,1.96,58.27,0.52,492.44,123.29,0.00,51.58,7.59,-22.84,5.00,20.17
RBM Infracon,,RBMINFRA,Construction,370.55,18.10,374.37,28.63,10.98,19.66,115.91,3.20,231.04,17.73,1.95,,0.09,5.28,6.00,8.55,49.65,20.47,34.16,1.70,56.10,1.01,401.29,371.38,0.00,60.53,8.27,-59.60,6.00,8.67
RBZ Jewellers Lt,544060,RBZJEWEL,Diamond Cutting / Jewellery,147.26,15.18,589.04,20.25,9.70,17.15,61.26,2.40,115.63,20.70,3.15,0.23,0.37,6.77,5.00,7.32,28.12,9.70,33.21,0.24,11.93,4.00,177.05,677.13,0.00,75.00,9.16,-94.98,7.00,12.20
Readymix Cons.,,READYMIX,Engineering,88.30,10.43,96.76,60.59,199.78,65.89,,,,0.40,1.75,,0.42,8.26,7.00,13.30,37.73,199.78,34.05,1.08,94.65,1.10,,103.87,0.00,72.06,12.74,-3.51,3.00,26.09
Refex Industries,532884,REFEX,Trading,424.55,28.96,5484.43,25.29,14.66,21.99,96.78,4.39,178.68,7.98,3.91,0.75,0.13,8.95,5.00,7.79,76.23,14.66,28.96,3.88,101.18,12.92,220.81,5332.02,10.37,53.37,4.84,-384.32,5.00,15.59
Refractory,,REFRACTORY,Refractories / Intermediates,66.15,23.84,144.21,16.80,2.78,18.54,20.62,3.21,35.88,38.88,2.63,,0.38,6.02,7.00,10.29,32.11,2.78,39.71,1.41,78.81,2.18,59.93,157.29,0.00,72.48,5.65,-16.87,5.00,10.05
Response Info.,538273,,Computers - Software - Medium / Small,39.00,60.26,31.94,31.95,2.94,34.84,18.67,2.09,15.49,42.23,4.12,,0.12,6.09,6.00,6.71,,0.57,30.87,4.12,88.38,0.82,65.28,33.49,14.21,51.56,1.10,,2.00,17.69
Responsive Ind,505509,RESPONIND,Plastics Products,186.62,25.02,4975.45,15.83,7.46,16.02,50.46,3.70,92.03,124.31,3.48,0.46,0.19,7.45,6.00,14.02,8.72,7.46,26.80,2.72,150.16,26.66,136.66,5214.89,2.01,58.57,4.48,71.48,3.00,12.11
Revathi Equip,544246,RVTH,Engineering,891.70,9.68,273.48,39.14,,35.30,382.08,2.33,,,1.62,,0.63,4.48,6.00,14.62,35.85,,34.05,0.97,58.36,0.31,,340.59,0.00,63.84,12.89,63.85,4.00,15.58
Rex Sealing,543744,,Packaging,175.00,14.45,45.24,24.90,11.04,17.79,73.02,2.40,152.20,21.56,2.94,1.29,0.21,6.72,6.00,8.00,21.59,14.10,22.86,1.94,93.72,0.26,221.93,48.42,0.00,73.02,9.73,-4.04,5.00,12.54
RIR Power Electr,517035,,Electronics - Components,1886.00,166.35,1447.26,19.49,11.44,16.21,122.72,15.37,183.55,50.68,2.76,6.63,0.13,20.83,7.00,11.92,30.46,12.20,51.33,2.07,105.63,0.77,275.38,1421.35,0.00,61.68,0.92,-3.81,4.00,11.32
Ritco Logistics,542383,RITCO,Miscellaneous,265.10,19.87,750.84,16.69,13.48,19.65,105.89,2.50,187.45,22.99,2.24,,0.78,6.24,5.00,3.50,,14.75,24.35,2.24,115.68,2.83,345.83,981.47,0.00,62.29,7.57,,3.00,7.97
RMC Switchgears,540358,,Electric Equipment,625.15,37.73,644.42,31.71,14.44,30.78,68.54,9.12,159.85,32.65,1.59,1.11,0.70,8.17,5.00,9.48,67.58,16.57,44.87,1.47,193.86,1.03,216.49,688.31,0.00,52.07,4.64,2.26,3.00,12.02
Rockingdeals Cir,,ROCKINGDCE,Trading,242.15,19.66,137.03,32.74,9.21,24.72,67.59,3.58,136.86,36.93,3.52,,0.16,8.05,5.00,10.47,67.43,12.32,28.96,1.11,43.31,0.57,362.61,142.78,0.00,65.11,6.95,-16.22,7.00,19.81
Rolcon Engg. Co.,505807,,Engineering,798.00,15.12,60.65,18.30,53.04,17.25,337.83,2.36,634.97,12.09,1.94,0.28,0.03,5.78,7.00,6.88,11.63,53.04,35.65,1.54,59.42,0.08,933.87,52.97,0.00,43.28,8.31,2.61,3.00,10.66
Roto Pumps,517500,ROTO,Pumps,268.30,50.22,1685.33,24.56,6.24,21.78,32.72,8.20,62.72,23.83,1.97,2.68,0.23,11.38,6.00,14.25,29.45,5.34,50.22,1.33,79.54,6.28,131.76,1707.85,0.00,66.62,2.91,-6.85,4.00,13.55
Royal Arc,,ROYALARC,Electrodes - Welding Equipment,170.00,15.82,188.70,44.07,12.83,32.86,,,,11.98,3.77,,0.00,10.40,6.00,11.96,,12.83,29.79,2.71,75.64,1.11,,187.94,0.00,72.96,8.70,13.23,2.00,24.83
RPG LifeScience.,532983,RPGLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,2170.20,30.35,3589.30,33.33,110.79,26.12,320.78,6.77,894.23,22.93,3.88,1.04,0.00,12.24,7.00,18.10,14.08,110.79,30.75,3.11,48.46,1.65,1668.85,3449.69,0.00,72.95,4.37,234.75,6.00,20.20
Rudra Gas,544121,,Construction,109.09,18.83,90.96,24.57,5.67,27.63,34.48,3.16,67.04,13.34,1.90,,0.71,5.39,5.00,7.42,31.43,5.79,20.84,1.81,96.84,0.83,171.03,107.11,0.00,73.04,8.64,-6.78,6.00,10.35
Rulka,,RULKA,Engineering - Turnkey Services,174.75,17.03,74.42,50.64,17.89,62.89,77.07,2.27,150.71,22.47,2.30,,0.23,5.21,5.00,8.61,53.59,13.10,33.15,1.63,80.73,0.43,693.76,80.80,0.00,69.22,8.00,-6.38,3.00,17.55
S A Tech,,SATECH,Computers - Software - Medium / Small,70.55,24.96,92.12,34.35,4.03,38.04,28.14,2.51,50.51,30.65,2.69,,0.33,6.03,7.00,5.13,9.56,4.03,30.87,2.69,80.03,1.31,71.71,98.59,0.00,69.45,8.17,9.02,4.00,10.29
S D Retail,,SDREAMS,Textiles - Products,124.40,31.26,232.91,18.56,60.75,19.60,54.46,2.28,272.84,2.41,2.49,,0.15,4.89,3.00,5.26,20.40,60.75,23.77,1.99,209.93,1.87,478.74,201.26,0.00,65.29,6.46,-18.36,4.00,7.07
S J Logistics (I,,SJLOGISTIC,Miscellaneous,526.75,17.79,796.61,30.89,15.61,29.22,90.61,5.81,249.38,17.17,3.62,,0.35,10.51,5.00,7.74,,30.50,24.35,3.62,106.57,1.51,1033.06,842.08,0.00,47.95,7.21,,5.00,18.13
Sabar Flex India,,SABAR,Packaging,7.65,3.69,13.20,17.00,2.52,16.05,19.68,0.39,30.31,9.81,2.20,0.09,0.70,4.19,6.00,3.44,19.51,2.08,22.86,1.36,85.28,1.73,53.87,36.99,0.00,17.68,19.44,-2.80,5.00,7.38
Safari Inds.,523025,SAFARI,Moulded Luggage,2275.40,77.90,11123.64,18.99,29.21,16.07,195.04,11.67,358.03,65.70,3.14,2.17,0.13,16.91,4.00,8.06,35.94,29.21,77.90,1.88,50.04,4.89,748.00,11023.42,0.00,45.41,1.76,21.52,4.00,11.60
Sahana Systems,,SAHANA,Computers - Software - Medium / Small,1590.25,39.62,1405.32,42.63,40.14,30.52,199.21,7.98,424.15,59.28,3.06,,0.07,12.14,3.00,23.42,,40.14,30.87,2.95,193.02,0.88,2209.37,1388.56,0.00,57.15,4.14,-39.06,3.00,22.79
Saint-Gob. Sekur,515043,,Glass & Glass Products,116.40,29.48,1060.52,22.91,3.95,17.37,23.68,4.92,45.87,33.25,7.67,0.99,0.00,10.31,7.00,17.26,11.27,3.95,29.48,6.97,48.64,9.11,48.92,1051.57,0.00,75.00,4.53,82.36,7.00,15.03
Saksoft,590051,SAKSOFT,Computers - Software - Medium / Small,181.84,23.64,2410.31,27.71,7.25,21.12,42.74,4.25,86.01,15.73,1.89,1.11,0.09,7.04,5.00,12.62,25.45,7.69,30.87,1.89,77.62,13.26,153.12,2288.58,0.00,66.68,6.26,241.93,6.00,14.19
Sanjiv.Parant.,531569,,Pharmaceuticals - Indian - Formulations,234.75,38.90,278.92,55.28,5.28,49.70,26.85,8.74,60.75,14.74,3.46,1.03,0.23,12.91,5.00,10.47,32.94,6.11,38.92,3.19,29.10,1.19,150.66,280.93,0.00,28.87,3.58,-2.53,5.00,19.16
Sanofi Consumer,544250,SANOFICONR,Pharmaceuticals - Multinational,5004.70,61.49,11526.14,111.44,78.59,83.81,118.54,42.22,441.48,60.15,3.00,,0.07,47.94,5.00,27.80,,73.08,45.91,2.69,6.90,2.30,1988.99,11219.54,0.00,60.40,2.34,,3.00,51.86
Sanrhea Tech.,514280,,Textiles - Processing,149.95,14.17,74.98,29.83,10.40,27.22,47.08,3.19,105.86,11.16,2.15,0.39,0.45,6.39,8.00,7.64,20.42,10.58,25.07,1.27,69.85,0.50,131.75,84.68,0.00,71.52,9.83,6.36,4.00,15.48
Sanstar,544217,SANSTAR,Miscellaneous,93.29,25.46,1700.16,48.48,4.75,53.00,37.03,2.52,62.94,23.83,6.80,,0.10,7.00,4.00,6.26,49.83,4.75,18.49,6.13,14.16,18.22,197.58,1458.13,0.00,70.37,6.89,33.80,5.00,26.03
Saptarishi Agro,519238,,Food - Processing - Indian,30.00,130.86,102.07,29.63,0.60,32.23,2.12,14.14,3.31,102.89,1.60,0.99,0.96,10.57,7.00,4.95,4.88,0.23,31.16,1.60,136.29,3.40,2.49,108.85,0.00,74.98,1.63,0.21,3.00,8.88
Saraswati Saree,544230,SSDL,Trading,94.83,13.50,375.52,45.18,8.92,58.89,46.58,2.04,88.88,13.66,2.25,,0.00,5.53,6.00,4.83,,7.54,28.96,1.21,44.89,3.96,129.23,332.83,0.00,74.75,11.81,-18.69,5.00,14.96
Sathlokhar,,SSEGL,Construction,442.35,24.96,1067.74,53.19,17.72,40.17,71.44,6.19,168.76,3.69,2.71,0.31,0.06,10.36,3.00,10.71,89.71,17.72,20.84,2.02,123.46,2.41,836.78,1037.72,0.00,62.71,5.72,-85.18,6.00,23.14
Saumya Cons,539218,,Finance & Investments,157.50,5.09,108.78,27.25,30.95,20.71,193.36,0.81,366.80,6.54,223.66,0.11,0.00,4.67,6.00,34.14,30.42,30.93,21.48,155.69,2.14,0.69,242.20,107.57,0.00,54.88,20.70,-10.72,4.00,19.28
Schaeffler India,505790,SCHAEFFLER,Bearings,4085.30,62.89,63854.74,25.67,62.55,19.17,344.41,11.86,709.52,49.79,2.87,2.91,0.01,18.25,4.00,12.10,13.25,64.96,29.96,1.88,57.57,15.63,1083.83,62547.67,0.00,74.13,2.19,796.61,4.00,14.85
Secmark Consult.,543234,SECMARK,Computers - Software - Medium / Small,125.47,30.73,130.62,22.26,4.08,23.26,19.70,6.37,42.54,24.27,1.64,0.96,0.32,9.18,8.00,12.10,34.16,4.08,30.87,1.64,29.94,1.04,70.33,120.73,0.00,74.71,4.99,-0.36,5.00,13.04
Selan Expl. Tech,530075,SELAN,Oil Drilling / Allied Services,572.65,11.77,870.43,22.72,48.67,17.13,309.04,1.85,581.75,18.23,7.77,0.45,0.01,4.96,7.00,28.67,49.53,48.67,17.95,7.21,49.73,1.52,1201.10,850.87,0.00,30.46,11.63,34.06,6.00,13.95
Service Care Ltd,,SERVICE,Miscellaneous,61.45,16.41,81.90,19.01,3.79,18.76,30.83,1.99,54.87,14.52,1.68,,0.00,7.28,4.00,2.26,29.27,4.34,26.75,1.68,44.90,1.33,113.25,79.53,0.00,63.12,6.29,6.21,6.00,10.20
Servotech Renew,,SERVOTECH,Electric Equipment,125.10,83.33,2789.05,19.75,1.50,18.95,10.08,12.41,18.45,91.00,2.16,0.78,0.33,15.05,5.00,5.70,63.78,1.50,44.87,1.69,87.39,22.29,45.49,2832.32,3.96,58.92,1.78,-132.00,3.00,10.42
Sh. Ganesh Elas.,530797,,Finance & Investments,25.11,,13.82,38.58,2.96,34.72,12.76,1.97,,8.17,7.41,,0.14,7.12,6.00,6.90,23.74,-1.11,21.48,2.43,0.00,0.55,,14.51,0.00,12.83,-5.24,4.12,5.00,26.96
Sh. Rama Multi.,532310,SHREERAMA,Packaging,38.87,10.11,519.13,15.13,3.84,40.13,11.47,3.39,31.50,37.63,2.43,0.38,0.25,6.62,5.00,24.71,11.41,3.84,22.86,1.60,88.73,13.36,26.58,547.97,0.00,61.57,4.24,-9.26,4.00,29.12
Shakti Pumps,531431,SHAKTIPUMP,Pumps,846.35,24.91,10174.02,55.31,33.97,42.61,96.59,8.76,271.72,20.39,2.27,0.25,0.14,11.99,6.00,16.23,28.77,33.97,50.22,1.80,152.12,12.02,869.32,10172.65,0.00,51.61,5.90,10.11,4.00,23.85
Shanthi Gears,522034,SHANTIGEAR,Engineering,489.85,39.13,3757.93,34.77,12.52,25.67,52.53,9.33,121.63,42.17,3.80,1.26,0.00,15.76,8.00,15.88,21.50,12.52,35.65,3.00,82.83,7.67,260.07,3693.17,0.00,70.47,3.52,132.64,3.00,20.28
Shantidoot Infra,543598,,Construction,271.00,27.85,48.73,32.66,6.90,25.41,37.43,7.24,90.54,1.41,5.11,,0.01,13.81,8.00,12.40,34.07,9.73,33.68,4.23,15.70,0.18,316.55,45.86,0.00,72.07,5.21,1.49,6.00,18.55
Share,544251,,Miscellaneous,77.17,25.12,94.69,66.45,4.18,53.25,26.14,2.95,49.59,17.64,47.62,,0.00,7.65,7.00,40.62,65.97,4.18,26.75,47.59,88.89,1.23,114.08,72.95,0.00,62.52,7.06,0.87,5.00,44.38
Share India Sec.,540725,SHAREINDIA,Finance & Investments,175.40,9.02,3827.57,38.31,22.22,30.93,103.46,1.70,218.77,12.89,2.66,0.12,0.15,4.46,3.00,28.72,48.49,20.56,21.48,2.66,2.86,21.82,772.94,2063.72,52.87,48.67,31.07,-118.61,6.00,18.10
Shelter Pharma,543963,,Pharmaceuticals - Indian - Bulk Drugs,42.00,7.29,48.55,32.85,5.36,24.98,34.01,1.23,66.40,8.74,12.93,,0.03,5.68,3.00,15.75,21.11,5.76,26.98,9.11,80.90,1.16,113.11,43.66,0.00,52.32,20.52,-2.78,6.00,21.19
Shilchar Tech.,531201,,Electric Equipment,6925.25,35.97,5281.75,71.10,192.54,52.78,454.75,15.23,1403.60,18.90,3.03,0.24,0.00,21.54,7.00,23.57,51.23,192.54,44.87,2.36,133.95,0.76,6556.99,5245.01,0.00,64.01,3.77,121.23,5.00,37.54
Shine Fashions,543244,,Trading,356.00,14.90,103.88,50.95,23.89,41.90,79.47,4.48,206.67,24.82,1.66,0.18,0.25,6.01,5.00,8.66,88.15,23.89,28.96,1.33,120.44,0.29,802.26,96.66,0.00,68.53,10.49,1.70,6.00,16.38
Shivalic,,SPCL,Electric Equipment,124.20,20.95,299.52,29.87,6.34,33.83,44.34,2.80,84.23,21.36,5.32,,0.05,7.02,5.00,10.94,25.08,7.11,44.87,2.64,123.70,2.41,105.20,287.28,0.00,71.34,7.48,-4.90,6.00,15.02
Shree Ganesh Rem,540737,,Pharmaceuticals - Indian - Bulk Drugs & Formln,749.35,33.07,961.91,27.82,21.97,26.87,103.73,7.22,230.13,28.07,4.22,0.94,0.25,11.52,8.00,22.34,36.93,22.69,30.75,3.19,58.94,1.28,690.58,981.08,0.00,72.80,4.08,-34.61,3.00,18.21
Shree Marutinand,544083,,Trading,75.43,13.96,26.10,23.67,7.60,23.68,57.37,1.31,83.97,23.13,1.96,,0.28,5.79,4.00,2.83,37.04,5.46,28.96,1.67,73.62,0.35,170.62,31.33,0.00,58.30,10.05,-5.28,5.00,10.65
Shree OSFM,,SHREEOSFM,Miscellaneous,109.05,20.74,167.97,23.24,5.67,22.00,47.57,2.29,77.91,30.36,4.06,,0.14,5.77,6.00,6.85,59.39,5.67,26.75,4.06,58.46,1.54,196.66,125.77,0.00,51.90,8.67,-11.87,5.00,12.96
Shri Balaji,544074,,Engineering,112.90,14.09,92.13,24.11,10.21,36.20,49.95,2.26,95.20,18.72,3.47,,0.62,4.87,3.00,10.04,72.27,8.06,35.65,2.82,134.62,0.82,316.89,111.13,0.00,73.53,9.28,-29.53,3.00,12.30
Shri Techtex,,SHRITECH,Textiles - Products,81.00,13.76,202.10,24.38,4.92,21.45,36.69,2.21,69.71,13.63,2.66,,0.18,5.70,6.00,16.01,24.62,5.89,23.77,2.31,91.56,2.50,211.51,212.02,0.00,70.34,10.58,-11.45,4.00,14.06
Shriram Pistons,544344,SHRIPISTON,Auto Ancillaries,2356.30,20.49,10379.46,25.98,115.02,23.46,543.40,4.34,1185.89,16.26,2.48,0.43,0.21,7.48,5.00,14.52,19.80,115.02,26.23,1.96,60.02,4.40,2136.60,9835.65,0.00,43.75,7.28,879.76,6.00,15.02
Shubhshree,,SHUBHSHREE,Miscellaneous,368.00,58.46,192.91,86.51,8.57,68.18,49.98,7.36,98.18,36.67,3.48,,0.01,13.36,4.00,3.51,705.72,8.57,26.75,3.26,32.14,0.52,654.53,178.33,0.00,73.45,2.71,0.88,4.00,33.17
Siddhika Coatins,,SIDDHIKA,Miscellaneous,182.00,14.00,112.46,32.44,13.00,24.55,58.60,3.11,130.90,17.14,3.29,0.59,0.00,7.43,8.00,16.72,33.13,13.00,26.75,2.96,27.82,0.62,245.00,106.70,0.00,63.09,9.94,11.81,7.00,19.04
Sigachi Indust.,543389,SIGACHI,Pharmaceuticals - Indian - Bulk Drugs & Formln,44.20,21.26,1473.84,16.69,1.74,16.38,14.15,3.12,26.18,20.11,1.86,0.86,0.29,5.49,2.00,14.35,27.44,2.15,30.75,1.39,137.27,33.34,67.98,1563.02,44.04,44.14,6.32,-162.48,6.00,10.73
Sigma Solve,543917,SIGMA,Computers - Software - Medium / Small,313.25,18.30,321.94,52.54,15.70,46.75,36.82,8.51,119.07,27.09,3.35,,0.11,15.35,5.00,27.72,45.43,17.12,30.87,3.35,81.87,1.03,461.69,321.60,0.00,73.22,7.06,35.02,5.00,34.99
