Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Return on capital employed,EPS last year,Return on equity,Book value,Price to book value,Graham Number,Historical PE 7Years,Current ratio,PEG Ratio,Debt to equity,Altman Z Score,Piotroski score,NPM last year,Sales growth 3Years,EPS,Industry PE,Quick ratio,Debtor days,Number of equity shares,Intrinsic Value,Enterprise Value,Pledged percentage,Promoter holding,Earnings yield,Free cash flow 3years,G Factor,Return on assets
Mamata Machinery,544318,MAMATA,Engineering,377.25,25.70,928.33,33.01,132.14,27.76,55.93,6.74,407.80,2.91,1.25,,0.04,8.01,8.00,15.27,16.80,132.14,34.05,0.50,57.51,2.46,855.56,930.71,0.00,62.45,5.21,70.71,5.00,15.54
Mankind Pharma,543904,MANKIND,Pharmaceuticals - Indian - Bulk Drugs & Formln,2572.70,54.89,106144.08,24.57,45.52,19.71,261.47,9.84,542.80,53.79,3.21,2.02,0.02,15.76,9.00,18.51,18.82,50.08,30.75,2.76,29.53,41.26,1040.69,105720.99,0.00,72.70,2.46,1592.01,3.00,16.50
Master Trust,511768,MASTERTR,Finance & Investments,162.89,12.65,1828.70,32.78,9.93,24.87,53.19,3.06,124.91,5.21,1.63,0.28,0.33,3.22,8.00,21.60,30.57,13.04,21.48,1.61,91.16,11.23,377.92,488.00,2.95,72.50,52.24,606.04,7.00,7.16
Mayur Uniquoters,522249,MAYURUNIQ,Leather / Leather Products,587.60,18.32,2582.65,20.87,32.08,15.55,215.30,2.73,394.23,19.54,8.08,1.52,0.01,7.27,9.00,17.19,9.14,32.08,65.31,6.26,109.49,4.40,415.72,2533.56,0.00,58.59,7.57,296.87,4.00,14.05
Mazagon Dock,543237,MAZDOCK,Miscellaneous,3522.40,51.65,142086.57,44.19,48.02,35.19,180.67,19.50,526.54,16.38,1.18,1.75,0.00,9.37,8.00,20.45,32.74,68.20,53.90,0.94,71.21,40.34,1183.26,128528.66,0.00,84.83,2.76,1546.11,5.00,6.57
Mazda,523792,MAZDA,Engineering,253.09,17.68,506.81,21.26,15.76,15.86,108.67,2.33,187.22,13.09,5.93,1.01,0.00,6.39,8.00,14.00,13.93,14.34,35.65,4.67,53.72,2.00,296.91,501.55,0.00,48.58,7.72,51.75,4.00,13.58
Mefcom Capital,531176,,Finance & Investments,15.98,28.20,73.03,41.14,1.70,43.29,5.39,2.96,8.29,9.44,6.57,0.65,0.14,15.74,8.00,3.62,96.98,0.57,21.48,1.36,1.42,4.57,17.61,75.08,0.00,74.43,4.82,0.87,2.00,36.23
Megatherm,,MEGATHERM,Engineering,308.35,25.89,580.95,27.03,11.00,24.24,68.81,4.48,135.80,29.38,1.46,,0.26,5.94,8.00,6.77,41.10,11.91,34.05,0.74,38.11,1.88,217.61,575.06,0.00,72.79,6.29,31.87,6.00,8.97
Multi Comm. Exc.,534091,MCX,Miscellaneous,6450.00,58.74,32893.95,42.86,109.82,34.33,369.50,17.46,955.50,38.97,1.87,2.31,0.00,13.91,9.00,50.33,44.76,109.82,55.54,1.87,9.43,5.10,2168.08,30993.29,0.00,0.00,2.26,1302.06,5.00,14.48
NBCC,534309,NBCC,Miscellaneous,111.08,52.99,29991.60,31.99,1.49,24.85,8.66,12.83,19.02,30.54,1.18,7.93,0.00,5.48,8.00,5.12,14.48,1.86,34.20,1.06,101.53,270.00,27.27,25184.19,0.00,61.75,3.17,-282.69,4.00,4.16
NDR Auto Compon.,543214,NDRAUTO,Auto Ancillaries,896.65,40.04,2132.71,22.97,22.38,19.16,127.02,7.06,252.90,18.70,1.39,0.77,0.11,10.00,8.00,7.47,45.26,22.38,26.61,1.10,47.87,2.38,654.08,2102.26,0.00,73.13,3.38,31.65,5.00,12.08
Network People,544396,NPST,Computers - Software - Medium / Small,2041.60,80.90,3958.64,83.46,13.78,63.69,47.63,42.86,164.47,82.84,2.99,0.98,0.00,50.26,9.00,21.53,102.59,25.24,30.73,2.99,2.80,1.94,458.14,3834.65,0.00,67.55,1.69,45.27,4.00,47.35
Nitiraj Engineer,,NITIRAJ,Electronics - Components,256.35,21.36,262.78,21.00,11.75,16.14,74.65,3.43,141.96,26.89,4.75,1.37,0.00,8.36,9.00,11.83,23.44,12.00,50.12,2.31,46.48,1.03,124.73,257.88,0.00,69.07,6.43,11.97,6.00,13.95
Paradeep Pari.,544383,,Miscellaneous,108.07,11.45,172.03,29.44,13.25,33.62,,,,7.24,1.94,,0.77,4.55,8.00,7.12,,13.25,24.35,1.87,77.07,1.59,,205.00,0.00,65.96,13.33,10.57,3.00,11.79
Pee Cee Cosma,524136,,Detergents / Intermediates,626.95,14.25,166.14,34.67,39.45,29.55,174.96,3.58,416.48,10.97,2.16,0.48,0.10,9.15,8.00,7.81,17.56,44.06,14.25,1.08,1.01,0.26,529.69,168.19,0.00,72.58,9.42,6.14,4.00,21.97
Piccadily Agro,530305,,Breweries & Distilleries,622.10,55.46,5868.85,29.59,11.63,30.61,63.91,9.73,127.00,14.12,2.09,0.50,0.35,12.24,8.00,11.78,14.98,11.22,29.88,1.66,67.16,9.43,194.67,5843.69,0.00,70.97,2.92,42.58,3.00,13.13
Pidilite Inds.,500331,PIDILITIND,Chemicals,3091.20,75.07,157233.50,29.86,40.82,23.07,191.77,16.12,419.68,85.97,2.27,5.94,0.05,20.93,8.00,16.09,9.82,40.82,29.91,1.76,50.31,50.86,495.92,157351.43,0.00,69.50,1.84,5069.49,4.00,16.21
Pix Transmission,500333,PIXTRANS,Miscellaneous,1707.10,20.29,2326.78,22.64,60.91,18.23,404.96,4.22,875.65,14.89,4.98,0.86,0.07,8.45,9.00,16.83,9.04,84.15,34.88,3.66,81.46,1.36,1070.12,2296.73,0.00,61.82,6.81,184.48,3.00,13.66
Pokarna,532486,POKARNA,Miscellaneous,1050.25,22.48,3256.20,18.27,28.18,15.82,215.76,4.87,475.10,17.22,1.82,14.79,0.56,6.28,8.00,12.66,32.64,46.50,30.81,1.23,63.55,3.10,403.39,3569.95,0.00,56.66,6.79,96.17,5.00,7.50
Premier Energies,544238,PREMIERENE,Electric Equipment,1125.95,54.16,50754.94,41.46,20.79,54.03,62.61,17.98,171.13,68.26,1.88,0.60,0.69,14.69,8.00,14.38,106.26,20.79,44.87,1.40,44.85,45.08,539.50,50706.15,0.00,64.25,2.80,132.33,6.00,18.06
Prima Plastics,530589,,Plastics Products,161.25,10.64,177.38,16.97,19.82,15.03,146.65,1.10,223.61,9.00,2.22,0.58,0.25,3.92,9.00,12.69,15.65,15.15,26.80,1.37,68.27,1.10,170.82,203.48,0.00,58.27,13.21,24.92,2.00,11.06
Rail Vikas,542649,RVNL,Construction,409.60,68.40,85402.42,18.70,7.02,20.39,38.12,10.75,71.67,8.25,1.77,3.48,0.68,9.31,9.00,6.73,12.16,5.99,20.84,1.76,18.58,208.50,71.32,86531.70,0.00,72.84,2.60,3215.60,4.00,8.06
Rane Brake Lin.,532987,RBL,Auto Ancillaries,745.05,12.59,575.91,20.51,52.31,15.19,361.69,2.06,687.72,17.19,2.14,6.23,0.01,5.89,8.00,6.23,15.95,58.12,26.61,1.19,81.22,0.77,874.52,577.87,0.00,70.93,10.77,13.90,4.00,10.63
Rishi Laser,526861,,Engineering,146.70,15.75,134.82,16.93,9.50,17.49,62.90,2.33,114.80,10.60,1.21,0.78,0.24,4.86,8.00,6.15,23.50,9.31,35.65,0.86,39.49,0.92,68.45,143.07,0.00,15.84,7.38,15.82,6.00,9.54
Sanghvi Movers,530073,SANGHVIMOV,Miscellaneous,333.50,21.89,2887.31,22.21,21.70,18.77,121.98,2.73,207.69,21.24,1.76,0.62,0.32,5.11,8.00,28.13,40.35,15.72,26.75,1.74,69.74,8.66,329.54,3203.20,0.00,47.25,6.45,149.78,3.00,13.67
Sanrhea Tech.,514280,,Textiles - Processing,149.95,14.17,74.98,29.83,10.40,27.22,47.08,3.19,105.86,11.16,2.15,0.39,0.45,6.39,8.00,7.64,20.42,10.58,25.07,1.27,69.85,0.50,131.75,84.68,0.00,71.52,9.83,6.36,4.00,15.48
Satia Industries,539201,SATIA,Paper,77.71,6.34,777.10,23.35,21.12,25.35,99.46,0.78,165.67,7.71,1.69,0.33,0.31,3.57,8.00,12.29,43.00,12.26,12.24,1.07,34.66,10.00,202.65,1028.75,0.00,52.46,15.04,227.97,5.00,15.19
Secmark Consult.,543234,SECMARK,Computers - Software - Medium / Small,125.47,30.73,130.62,22.26,4.08,23.26,19.70,6.37,42.54,24.27,1.64,0.96,0.32,9.18,8.00,12.10,34.16,4.08,30.73,1.64,29.94,1.04,70.33,120.73,0.00,74.71,4.99,-0.36,5.00,13.04
Shaily Engineer.,501423,SHAILY,Plastics Products,1671.60,82.49,7681.85,19.40,20.26,18.50,119.18,14.03,233.10,48.06,1.22,,0.34,15.61,8.00,11.84,11.49,20.26,26.80,0.78,79.66,4.60,216.66,7846.93,0.00,43.72,1.74,13.60,4.00,10.86
Shanthi Gears,522034,SHANTIGEAR,Engineering,489.85,39.13,3757.93,34.77,12.52,25.67,52.53,9.33,121.63,42.17,3.80,1.26,0.00,15.76,8.00,15.88,21.50,12.52,35.65,3.00,82.83,7.67,260.07,3693.17,0.00,70.47,3.52,132.64,3.00,20.28
Shantidoot Infra,543598,,Construction,271.00,27.85,48.73,32.66,6.90,25.41,37.43,7.24,90.54,1.41,5.11,,0.01,13.81,8.00,12.40,34.07,9.73,33.68,4.23,15.70,0.18,316.55,45.86,0.00,72.07,5.21,1.49,6.00,18.55
Sharda Ispat,513548,,Steel - Medium / Small,325.55,15.37,165.38,31.02,27.52,31.27,108.83,2.99,227.81,10.59,2.74,1.00,0.48,7.94,8.00,6.19,33.69,21.19,24.59,1.64,20.69,0.51,398.89,191.22,0.00,74.97,7.91,2.45,5.00,20.37
Sharda Motor,535602,SHARDAMOTR,Auto Ancillaries,1727.40,16.27,5135.84,39.32,99.19,30.00,309.99,5.57,860.57,13.98,1.54,0.61,0.03,8.85,8.00,9.65,17.39,106.18,26.61,1.22,29.51,2.97,1959.33,4980.28,0.00,64.31,8.52,229.41,5.00,17.72
Shree Ganesh Rem,540737,,Pharmaceuticals - Indian - Bulk Drugs & Formln,749.35,33.07,961.91,27.82,21.97,26.87,103.73,7.22,230.13,28.07,4.22,0.94,0.25,11.52,8.00,22.34,36.93,22.69,30.75,3.19,58.94,1.28,690.58,981.08,0.00,72.80,4.08,-34.61,3.00,18.21
Siddhika Coatins,,SIDDHIKA,Miscellaneous,182.00,14.00,112.46,32.44,13.00,24.55,58.60,3.11,130.90,17.14,3.29,0.59,0.00,7.43,8.00,16.72,33.13,13.00,26.75,2.96,27.82,0.62,245.00,106.70,0.00,63.09,9.94,11.91,7.00,19.04
SJS Enterprises,543387,SJS,Plastics Products,1091.40,29.03,3419.70,23.10,37.61,19.19,216.17,5.05,427.69,26.06,2.88,,0.05,9.21,8.00,15.63,27.16,37.61,26.80,2.39,84.03,3.13,842.37,3436.01,4.29,21.61,4.61,261.66,4.00,14.32
SM Auto Stamping,543065,,Auto Ancillaries,30.00,20.43,41.06,23.16,2.19,15.43,13.03,2.30,20.60,24.02,0.86,2.13,0.29,5.06,8.00,4.11,20.17,1.45,26.61,0.55,22.42,1.37,14.52,46.17,0.00,72.95,9.44,11.25,5.00,8.24
SNL Bearings,505827,,Bearings,386.50,12.85,139.53,22.19,30.07,17.05,187.84,2.06,356.50,13.24,10.68,0.58,0.00,6.40,8.00,21.22,5.57,30.07,29.96,8.33,68.02,0.36,412.71,138.46,0.00,74.39,10.22,18.52,6.00,15.34
SP Refractories,,SPRL,Refractories / Intermediates,142.00,14.28,25.41,17.60,8.72,16.05,64.10,2.22,119.77,22.63,2.23,0.29,0.33,6.02,8.00,5.41,3.89,9.95,39.71,1.50,81.21,0.18,149.73,29.22,0.00,69.42,9.89,-3.23,4.00,9.39
Sun Pharma.Inds.,524715,SUNPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,1734.90,35.30,416260.62,17.32,39.91,16.69,288.06,6.02,555.75,30.21,2.67,1.51,0.04,10.19,9.00,20.67,13.13,47.65,30.75,2.09,84.67,239.93,703.17,409817.57,0.88,54.48,3.41,20408.88,2.00,12.08
Supriya Lifesci.,543434,SUPRIYA,Pharmaceuticals - Indian - Bulk Drugs & Formln,696.60,32.13,5606.43,22.15,14.80,15.73,112.56,6.19,234.33,23.87,5.48,1.30,0.01,11.96,8.00,20.88,13.39,21.68,30.75,4.05,71.47,8.05,648.04,5527.63,0.00,68.30,4.33,-87.67,4.00,13.68
Suraksha Diagno.,544293,SURAKSHA,Healthcare,303.65,59.77,1581.43,17.22,353.33,15.83,38.34,7.92,552.09,0.80,2.13,8.80,0.43,10.33,9.00,12.11,16.00,353.33,48.04,1.95,15.28,5.21,449.73,1618.19,0.00,48.78,2.79,77.60,5.00,9.06
Symphony,517385,SYMPHONY,Domestic Appliances,1286.50,36.03,8871.32,36.88,30.89,32.61,110.36,11.66,276.95,53.73,1.24,6.02,0.19,13.69,8.00,15.62,14.90,30.89,49.81,0.72,32.66,6.90,435.91,8976.32,0.00,73.43,3.74,507.02,6.00,19.35
Tasty Bite Eat.,519091,TASTYBITE,Food - Processing - Indian,10613.50,123.96,2723.42,17.13,161.81,16.16,1127.90,9.41,1474.06,90.46,2.05,16.91,0.30,12.13,8.00,7.92,11.93,85.62,31.16,1.04,39.80,0.26,2029.00,2800.28,0.00,74.23,1.32,95.67,4.00,9.43
Tech Mahindra,532755,TECHM,Computers - Software - Large,1617.00,37.24,158315.70,20.08,43.43,15.74,279.49,5.79,522.58,21.28,1.87,20.80,0.07,8.51,8.00,8.03,5.88,43.43,29.96,1.87,45.11,97.91,499.91,155798.70,0.00,35.01,3.84,15544.30,5.00,9.71
Tips Music,532375,TIPSMUSIC,Entertainment / Electronic Media Software,637.80,48.95,8153.10,112.44,13.03,85.63,16.39,38.91,69.32,31.94,2.75,0.68,0.02,43.07,8.00,53.61,31.84,13.03,35.34,2.75,32.28,12.78,306.59,8115.34,0.00,64.15,2.75,429.34,6.00,49.11
Titan Intech,521005,,Computers - Software - Medium / Small,13.42,7.64,40.88,20.55,3.04,17.79,24.47,0.55,34.83,8.85,9.98,,0.05,3.40,8.00,12.78,295.88,2.20,30.73,9.98,58.83,3.05,99.36,44.34,0.00,16.60,14.59,-15.52,5.00,15.77
Torrent Pharma.,500420,TORNTPHARM,Pharmaceuticals - Indian - Formulations,3266.80,59.38,110558.39,23.16,48.94,24.23,221.73,14.73,523.91,42.23,1.21,2.75,0.42,14.02,9.00,14.74,10.25,55.02,37.12,1.21,62.75,33.84,521.19,112536.39,0.00,68.31,2.59,6527.07,3.00,10.86
TPL Plastech,526582,TPLPLASTEH,Packaging,82.95,28.33,647.03,19.01,2.54,15.85,17.17,4.83,33.63,18.68,1.73,2.46,0.21,7.61,8.00,6.23,22.44,2.93,22.86,0.94,63.89,7.80,49.62,667.76,0.00,74.86,5.12,26.01,3.00,8.54
Trent,500251,TRENT,Trading,5583.00,129.35,198468.65,31.71,43.51,32.20,153.64,36.34,387.83,170.55,1.83,1.73,0.41,37.39,8.00,8.96,56.18,43.51,47.36,0.81,1.34,35.55,991.20,200366.00,0.00,37.01,1.08,2125.86,6.00,18.51
Triveni Turbine,533655,TRITURBINE,Electric Equipment,605.15,53.85,19236.32,44.22,11.24,32.83,38.27,15.81,98.36,42.14,2.22,2.14,0.03,18.43,8.00,17.88,33.02,11.24,44.87,1.96,66.09,31.79,231.81,18948.92,0.00,55.84,2.59,541.01,5.00,19.44
Trust Fintech,,TRUST,Computers - Software - Medium / Small,78.95,17.95,188.10,46.12,7.13,34.58,44.76,1.76,72.25,19.11,10.47,,0.00,5.33,8.00,35.99,14.12,5.18,30.73,10.47,124.96,2.38,186.95,185.39,0.00,68.85,7.37,0.47,4.00,29.88
Unique Organics,530997,,Trading,146.10,8.26,86.97,38.07,10.65,32.63,50.39,2.90,141.62,8.91,4.01,0.14,0.07,10.82,8.00,3.52,43.41,17.69,28.96,3.50,17.76,0.60,378.73,73.26,0.00,34.64,19.64,7.27,6.00,21.63
United Spirits,532432,UNITDSPR,Breweries & Distilleries,1540.30,76.33,112033.85,27.87,19.36,20.98,104.93,14.68,213.32,70.61,2.11,4.85,0.07,17.90,8.00,12.16,11.66,19.28,29.88,1.53,98.53,72.74,233.86,111218.85,1.18,56.67,1.89,2425.80,4.00,13.18
V-Guard Industri,532953,VGUARD,Electric Equipment,375.00,52.09,16341.71,19.72,7.20,16.04,48.14,7.79,88.30,56.71,1.71,4.81,0.06,11.09,8.00,5.62,16.80,7.20,44.87,0.74,35.49,43.58,151.24,16410.73,0.00,54.30,2.67,945.16,4.00,9.67
Varroc Engineer,541578,VARROC,Auto Ancillaries,506.20,45.42,7734.05,17.48,34.43,41.91,105.19,4.81,122.91,16.68,0.81,10.79,0.75,5.17,9.00,6.94,19.97,6.38,26.61,0.47,23.77,15.28,98.27,8795.00,0.00,75.00,5.60,327.69,3.00,11.47
Veedol Corporat,590005,VEEDOL,Chemicals,1694.40,18.66,2952.32,23.67,82.03,17.97,500.14,3.39,990.70,16.71,2.93,2.30,0.03,7.55,8.00,7.41,15.34,87.22,29.91,1.75,43.70,1.74,997.29,2908.07,0.00,64.29,6.81,282.17,5.00,12.69
Vesuvius India,520113,VESUVIUS,Refractories / Intermediates,5363.40,42.69,10887.70,25.47,130.33,19.30,705.06,7.61,1411.92,31.67,3.12,1.76,0.01,12.67,8.00,13.55,21.29,125.66,39.71,2.47,75.28,2.03,2377.51,10419.06,0.00,55.57,3.24,-85.77,3.00,14.74
Vibrant Glo. Cap,538732,,Finance & Investments,44.85,12.61,102.74,33.41,20.81,36.46,74.98,0.60,77.48,4.75,2.98,0.31,0.30,3.08,8.00,19.69,8.53,3.56,21.48,1.40,10.78,2.29,66.57,150.74,0.00,71.53,7.83,65.65,6.00,25.93
Vikram Thermo,530477,,Chemicals,184.15,18.05,577.45,30.67,8.08,24.89,33.49,5.50,46.37,14.23,3.86,0.43,0.06,10.86,8.00,20.01,19.75,2.85,29.91,3.35,113.51,3.14,90.64,581.59,0.00,65.94,7.77,16.30,6.00,18.74
Vinati Organics,524200,VINATIORGA,Chemicals,1778.20,44.39,18433.82,20.56,40.05,15.75,270.75,6.57,493.97,46.80,3.28,9.95,0.02,11.76,8.00,18.47,11.64,40.05,29.91,2.55,96.40,10.37,931.85,18492.93,0.84,74.28,2.97,632.99,4.00,13.64
Virat Crane Inds,519457,,Food - Processing - Indian,50.46,11.03,103.04,18.45,4.96,17.15,33.47,1.51,58.69,10.40,2.71,1.34,0.01,5.48,8.00,7.53,16.53,4.57,31.16,2.33,43.07,2.04,66.29,103.01,0.00,74.50,11.24,-3.91,3.00,12.77
Virtual Galaxy,,VGINFOTECH,Computers - Software - Medium / Small,,21.55,353.13,34.29,14.90,48.03,,,,,1.33,,0.87,6.76,8.00,25.81,14.36,14.90,30.73,1.33,145.71,2.49,,389.22,0.00,64.72,6.44,7.21,2.00,16.20
Voler Car,,VOLERCAR,Miscellaneous,98.30,28.38,109.54,149.21,281.19,389.90,,,,0.34,2.31,,0.04,13.03,8.00,12.49,5.72,281.19,26.75,2.31,43.59,1.11,,104.55,0.00,67.87,4.97,8.37,2.00,35.71
Walpar Nutrition,,WALPAR,Pharmaceuticals - Indian - Bulk Drugs & Formln,44.00,17.81,41.32,16.08,2.47,15.09,17.64,2.50,31.31,62.73,1.40,,0.47,4.05,8.00,3.89,38.93,2.47,30.75,0.97,107.73,0.94,52.13,47.58,0.00,68.52,8.76,1.12,4.00,6.60
Welspun Corp,532144,WELCORP,Steel - Large,781.90,13.91,20581.32,20.19,42.44,19.80,230.14,3.40,540.20,15.55,1.48,0.15,0.37,5.20,8.00,6.02,34.34,56.36,21.81,0.79,37.87,26.32,695.02,22189.61,0.00,50.01,9.33,-970.05,4.00,7.71
Welspun Living,514162,WELSPUNLIV,Textiles - Products,149.07,22.71,14486.75,16.10,7.01,15.62,46.90,3.18,84.23,18.19,1.55,1.73,0.69,4.67,8.00,6.94,9.66,6.72,23.77,0.94,47.31,97.18,81.89,17420.04,0.00,66.24,6.64,865.51,3.00,7.46
Yug Decor,540550,,Chemicals,35.90,,38.73,20.56,1.20,16.82,10.21,3.51,,50.78,1.57,,0.89,4.41,8.00,4.71,20.89,-0.09,29.91,1.21,133.82,1.08,,48.53,0.00,69.48,0.56,1.44,5.00,8.49
Zydus Lifesci.,532321,ZYDUSLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,902.70,20.03,90832.74,22.34,38.36,20.67,216.89,4.16,469.08,22.09,2.27,1.21,0.01,7.20,8.00,20.33,10.72,45.09,30.75,1.58,97.47,100.62,479.81,89429.64,0.00,74.98,6.74,5092.30,5.00,14.61
